it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
   66831  5.00000000E+00  5.42008121E-05   5.38773332E-03  4.48411243E-04  5.20174542E-04  4.51240529E-04  2.24915418E-03  0.00000000E+00  9.40675281E+01  2.24657506E+00  3.76217696E-02  1.06621362E-05  8.99706606E+04  1.54493731E+05  1.58824112E-05  1.51272445E+00  2.61409740E+01  5.95088550E+00  2.94388306E-01  4.09662758E-01  1.77366174E+01  3.74200953E+05  2.01833624E-01  2.63132501E-03 -1.19916234E-02   0.00000000E+00  4.06250000E-01  3.78906250E-01  2.14843750E-01        0      52     194     440 |   0.00E+00  0.00E+00  2.72E+04  8.58E+01  3.72E+03  1.55E+01
   80488  5.50000000E+00  3.77767261E-05   4.88293547E-03  1.41926494E-03  9.93649880E-04  1.35620382E-03  6.48680021E-03  0.00000000E+00  7.77735144E+01  3.04346476E+00  1.05078842E-02  1.10816851E-05  1.20223448E+05  2.04597096E+05  2.51230791E-05  1.58027406E+00  3.03171260E+01  6.19590876E+00  2.96726803E-01  4.04901778E-01  5.23214116E+01  9.89851889E+05  4.56936186E-01 -1.04080234E-02 -2.24065949E-02   0.00000000E+00  2.81250000E-01  4.66796875E-01  2.51953125E-01        0      36     239     516 |   0.00E+00  0.00E+00  3.59E+04  9.89E+01  4.66E+03  1.88E+01
   93558  6.00000000E+00  4.44466653E-05   4.59699077E-03  1.55000529E-03  2.00249371E-03  2.01285413E-03  3.44178227E-03  0.00000000E+00  1.00041989E+02  4.08638965E+00 -2.90452294E-02  8.62290424E-06  1.02922340E+05  1.79926186E+05  3.16690011E-05  1.56724385E+00  3.10277955E+01  6.71252955E+00  2.94073056E-01  4.11136672E-01  3.83143521E+01  6.61306845E+05  3.11432629E-01 -2.31218899E-02 -1.39577464E-02   0.00000000E+00  2.73437500E-01  4.78515625E-01  2.48046875E-01        0      35     245     508 |   0.00E+00  0.00E+00  2.81E+04  9.85E+01  5.05E+03  1.96E+01
  106113  6.50000000E+00  3.21813402E-05   4.94445335E-03  8.31143002E-04  1.95030028E-03  1.20218080E-03  3.60388232E-03  0.00000000E+00  1.11294915E+02  3.25602957E+00 -4.94238283E-02  1.00549010E-05  9.70783160E+04  1.60806262E+05  2.21060445E-05  1.51226240E+00  2.80291517E+01  6.54020196E+00  2.88453063E-01  4.22886372E-01  2.69821921E+01  5.48698588E+05  3.47334310E-01 -4.67406653E-02 -1.93351523E-02   0.00000000E+00  4.06250000E-01  3.57421875E-01  2.36328125E-01        0      52     183     484 |   0.00E+00  0.00E+00  2.78E+04  8.99E+01  6.44E+03  2.41E+01
  120315  7.00000000E+00  5.19376716E-05   5.04025850E-03  1.03978582E-03  2.34464091E-03  1.65732236E-03  4.01027811E-03  0.00000000E+00  7.28497513E+01  2.90475858E+00 -2.01847460E-02  9.66437243E-06  1.07372559E+05  1.89903635E+05  2.78001439E-05  1.63869154E+00  2.73417874E+01  5.85457589E+00  3.01777532E-01  3.95102909E-01  2.81118373E+01  5.78420138E+05  2.56172425E-01 -1.83882750E-02 -1.29222169E-02   6.25000000E-02  3.67187500E-01  3.63281250E-01  2.07031250E-01        2      47     186     424 |   0.00E+00  0.00E+00  2.63E+04  8.24E+01  3.86E+03  1.39E+01
  129193  7.50000000E+00  5.34688226E-05   5.85083688E-03  8.70296486E-04  3.30175937E-03  1.84573999E-03  3.16453430E-03  0.00000000E+00  8.34178528E+01  2.75847582E+00  6.70929306E-02  1.15174916E-05  9.54792516E+04  1.63945701E+05  2.67023072E-05  1.52831320E+00  2.93332639E+01  6.64711532E+00  2.87472503E-01  4.26371468E-01  2.15858358E+01  4.03656969E+05  2.12169259E-01 -2.73729678E-02 -1.65052431E-02   0.00000000E+00  2.34375000E-01  4.84375000E-01  2.81250000E-01        0      30     248     576 |   0.00E+00  0.00E+00  3.43E+04  1.07E+02  3.72E+03  1.29E+01
  140961  8.00000000E+00  5.62204217E-05   6.38380150E-03  1.34671086E-03  4.79359499E-03  3.20878344E-03  3.92946864E-03  0.00000000E+00  1.04873868E+02  2.80019110E+00  9.40188187E-02  1.33480853E-05  1.00825276E+05  1.80735402E+05  2.99038767E-05  1.54127128E+00  2.92685592E+01  6.44692670E+00  2.97366300E-01  4.04019517E-01  2.93357731E+01  5.59275960E+05  2.88879412E-01 -1.57369168E-02 -1.93956435E-02   6.25000000E-02  2.96875000E-01  3.71093750E-01  2.69531250E-01        2      38     190     552 |   0.00E+00  0.00E+00  2.89E+04  9.78E+01  3.85E+03  1.28E+01
  154643  8.50000000E+00  4.46719552E-05   7.02359732E-03  1.23603325E-03  4.61229239E-03  2.42629574E-03  3.40032994E-03  0.00000000E+00  9.80621293E+01  2.66660912E+00  1.23412392E-01  1.36288240E-05  9.34006072E+04  1.38396607E+05  2.30383264E-05  1.49709273E+00  2.87284557E+01  6.52133674E+00  2.96745641E-01  4.04763962E-01  1.96539515E+01  3.87372507E+05  2.08206675E-01 -1.90573455E-02 -1.69932556E-02   0.00000000E+00  3.82812500E-01  3.98437500E-01  2.18750000E-01        0      49     204     448 |   0.00E+00  0.00E+00  2.73E+04  8.76E+01  4.59E+03  1.47E+01
  170036  9.00000000E+00  6.61263663E-05   6.85774799E-03  1.25050413E-03  3.97776590E-03  2.17665255E-03  5.30810693E-03  0.00000000E+00  8.67091888E+01  2.66723639E+00  1.31251992E-01  1.42966421E-05  1.02643733E+05  1.65498989E+05  2.73585703E-05  1.53304500E+00  2.86245202E+01  6.67908084E+00  2.98473197E-01  4.01669081E-01  2.44564685E+01  4.80775980E+05  2.66683326E-01  1.12241137E-03 -2.19294589E-02   0.00000000E+00  3.75000000E-01  4.12109375E-01  2.12890625E-01        0      48     211     436 |   0.00E+00  0.00E+00  3.04E+04  8.69E+01  2.77E+03  8.46E+00
  177775  9.50000000E+00  4.37129106E-05   6.42945036E-03  1.04765545E-03  3.40982705E-03  1.95191168E-03  4.56176284E-03  0.00000000E+00  9.25540741E+01  2.79030172E+00  1.48875370E-01  1.24364196E-05  1.07352515E+05  1.62090731E+05  3.14177064E-05  1.62861659E+00  2.79097983E+01  6.08751601E+00  2.96147837E-01  4.07156153E-01  3.18252537E+01  5.86615827E+05  2.67640791E-01 -1.23316893E-02 -1.73975543E-02   0.00000000E+00  3.82812500E-01  4.12109375E-01  2.05078125E-01        0      49     211     420 |   0.00E+00  0.00E+00  3.19E+04  8.50E+01  3.90E+03  1.14E+01
