it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
   23351  5.00000000E+00  2.01840293E-04   6.14684956E-03  7.13391542E-04  5.86140517E-05  7.34481685E-04  2.31286941E-03  0.00000000E+00  6.46824003E+01  2.52083128E+00  2.26384061E-02  1.28898934E-05  9.07360002E+04  9.07440529E+04  3.77757399E-05  1.52215106E+00  2.32703249E+01  5.57960011E+00  3.06159544E-01  3.84953306E-01  1.13644152E+01  2.81527071E+05  1.79506776E-01  1.19314538E-04 -3.36904241E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.58E+04  1.00E+01  1.23E+02  5.13E-01
   26370  5.50000000E+00  1.53926784E-04   3.54682643E-03  1.35648189E-03  2.93450067E-05  9.57202772E-04  5.37283702E-03  0.00000000E+00  6.62868809E+01  2.74715646E+00  3.52826277E-02  7.32005027E-06  1.11961122E+05  1.11570008E+05  3.28362550E-05  1.61177404E+00  2.33105196E+01  4.60404373E+00  3.03876171E-01  3.89373298E-01  2.83984126E+01  7.33006047E+05  4.32562496E-01 -4.22272618E-03 -1.98628268E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.44E+04  1.00E+01  1.70E+02  6.87E-01
   29578  6.00000000E+00  1.29836841E-04   4.34065480E-03  7.09409030E-04  8.43321069E-05  5.71762166E-04  2.45854579E-03  0.00000000E+00  8.10310554E+01  2.66816967E+00 -1.51524616E-02  8.38788111E-06  9.09899241E+04  9.10108815E+04  2.36860378E-05  1.50110401E+00  2.44703037E+01  5.56344112E+00  2.98484396E-01  4.00425142E-01  1.61688063E+01  4.05611539E+05  2.69852711E-01  1.12850154E-02 -2.21059337E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.80E+04  1.00E+01  1.76E+02  6.84E-01
   32738  6.50000000E+00  2.94724018E-04   4.21712948E-03  9.20320063E-04  7.51942596E-05  7.41718037E-04  3.87059134E-03  0.00000000E+00  9.84948015E+01  3.48207926E+00 -1.14963078E-02  8.57783631E-06  1.01660010E+05  1.01844458E+05  2.17244185E-05  1.51674213E+00  2.68489189E+01  5.56513334E+00  2.94558275E-01  4.08390413E-01  2.97588055E+01  6.63913181E+05  3.93564750E-01 -1.27969657E-02 -2.19333737E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.66E+04  1.00E+01  8.16E+01  3.06E-01
   35484  7.00000000E+00  1.34011634E-04   3.73692661E-03  1.22260131E-03  7.45312991E-05  9.73987801E-04  6.94392317E-03  0.00000000E+00  1.13241549E+02  3.70721768E+00  1.65809563E-02  8.36935414E-06  1.10240428E+05  1.10361549E+05  2.35785232E-05  1.46691264E+00  2.62676411E+01  5.54314240E+00  2.78608244E-01  4.43896955E-01  4.09505285E+01  9.33123847E+05  6.47169235E-01 -3.80319400E-03 -2.92219905E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.97E+04  1.00E+01  1.61E+02  5.80E-01
   38012  7.50000000E+00  1.84354116E-04   4.06548058E-03  1.08870829E-03  8.84287035E-05  7.54917337E-04  2.77492987E-03  0.00000000E+00  7.40496329E+01  3.09786590E+00  9.49140269E-04  7.75604314E-06  9.14456824E+04  9.15283461E+04  2.81775890E-05  1.50327945E+00  2.52796987E+01  6.04157639E+00  2.67383856E-01  4.67604289E-01  1.35538184E+01  2.86683527E+05  1.57127867E-01 -1.10537960E-03 -1.94007970E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.63E+04  1.00E+01  1.32E+02  4.58E-01
   40786  8.00000000E+00  1.82172361E-04   4.53095256E-03  9.97002746E-04  1.23750687E-04  7.77728297E-04  4.60548048E-03  0.00000000E+00  8.81806982E+01  2.95079721E+00 -2.53844948E-02  9.25068504E-06  1.03486810E+05  1.03596872E+05  2.98042826E-05  1.55435654E+00  2.41218167E+01  5.45421796E+00  2.93294053E-01  4.12216519E-01  2.17907393E+01  5.54242981E+05  3.65469055E-01 -1.51149239E-02 -2.35892872E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.03E+04  1.00E+01  1.73E+02  5.78E-01
   43003  8.50000000E+00  2.51657853E-04   5.26785315E-03  8.15890254E-04  1.47878407E-04  6.82449729E-04  4.83289821E-03  0.00000000E+00  6.14414469E+01  2.59009776E+00  1.67171056E-03  1.17214502E-05  1.04500837E+05  1.04555274E+05  2.74599018E-05  1.56562467E+00  2.57541835E+01  5.47173196E+00  2.99937054E-01  3.97805070E-01  2.28824690E+01  5.52839162E+05  3.91407333E-01  9.07525252E-03 -3.00131929E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.18E+04  1.00E+01  7.99E+01  2.55E-01
   45919  9.00000000E+00  1.99010123E-04   3.96672355E-03  1.05172814E-03  7.20777503E-05  8.66597334E-04  4.07509165E-03  0.00000000E+00  6.44163152E+01  2.89316301E+00 -2.56692185E-03  7.78433741E-06  1.05119187E+05  1.05355083E+05  3.13479698E-05  1.60936453E+00  2.49571191E+01  5.53923986E+00  2.95004969E-01  4.09614668E-01  2.40758617E+01  5.46631734E+05  3.21144726E-01  1.24603358E-02 -2.14523847E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.72E+04  1.00E+01  1.18E+02  3.62E-01
   48761  9.50000000E+00  1.25362122E-04   4.83704114E-03  8.76127612E-04  1.38136667E-05  6.60254686E-04  3.10572224E-03  0.00000000E+00  6.27740810E+01  2.48408386E+00  3.08209940E-02  1.02455324E-05  9.83292217E+04  9.83365604E+04  3.01230536E-05  1.58036734E+00  2.18497816E+01  4.52419394E+00  3.03474698E-01  3.90468020E-01  1.54882170E+01  4.56020183E+05  3.07456867E-01  9.83843921E-03 -2.76414947E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.02E+04  1.00E+01  1.69E+02  4.94E-01
