it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
   42550  5.00000000E+00  1.12393598E-04   5.48464498E-03  5.64674475E-05 -1.56022954E-04  4.25050315E-04  1.61770502E-03  0.00000000E+00  9.86485309E+01  2.30436430E+00 -3.49736263E-02  1.04972626E-05  7.87960828E+04  7.88086876E+04  1.55956647E-05  1.41891214E+00  2.45381188E+01  6.56922935E+00  2.91758454E-01  4.14029916E-01  1.01948506E+01  2.58094777E+05  1.87597614E-01 -6.55015522E-03 -2.49259394E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.12E+04  4.22E+01  7.71E+02  3.21E+00
   51011  5.50000000E+00  5.49150342E-05   4.37575997E-03  5.38281749E-04 -8.87525124E-05  5.75811958E-04  3.24947917E-03  0.00000000E+00  1.02216946E+02  2.75003036E+00 -4.54199108E-02  8.83987548E-06  9.51146339E+04  9.51928485E+04  1.68309650E-05  1.49297628E+00  2.77682108E+01  6.44410782E+00  2.86633633E-01  4.26169388E-01  2.43130475E+01  5.01389334E+05  3.00002984E-01 -8.16279218E-03 -1.95555006E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.36E+04  4.22E+01  1.46E+03  5.90E+00
   57653  6.00000000E+00  7.77587232E-05   4.69285367E-03  5.83399719E-04 -3.36875903E-04  6.34098085E-04  2.69664939E-03  0.00000000E+00  1.00227577E+02  2.78333480E+00 -8.09089932E-02  9.00223463E-06  9.06835325E+04  9.06947168E+04  1.94412086E-05  1.48139395E+00  2.84861166E+01  7.06746584E+00  2.88997208E-01  4.20688733E-01  2.18957702E+01  4.64203452E+05  3.39918360E-01  3.11848418E-03 -2.17164008E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.30E+04  4.22E+01  1.05E+03  4.10E+00
   65375  6.50000000E+00  5.63395638E-05   4.05438754E-03  1.01101286E-03 -7.08158263E-04  8.17866359E-04  3.27445582E-03  0.00000000E+00  9.59155736E+01  3.17167392E+00 -6.56640310E-02  8.08139338E-06  9.96531348E+04  9.96827113E+04  2.37342263E-05  1.52944376E+00  3.01208818E+01  6.96626737E+00  2.96237393E-01  4.05628846E-01  3.15379322E+01  5.90313397E+05  3.39407727E-01 -7.54837111E-03 -1.87571833E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.12E+04  4.22E+01  1.54E+03  5.77E+00
   75466  7.00000000E+00  6.72285256E-05   4.76546864E-03  8.83182497E-04 -1.09760755E-03  8.09742966E-04  2.78115394E-03  0.00000000E+00  1.23011985E+02  3.16679992E+00 -8.12623913E-02  9.23908976E-06  9.41991225E+04  9.42087324E+04  1.84565769E-05  1.50307726E+00  3.12452165E+01  7.28559480E+00  2.81758823E-01  4.36765784E-01  3.18886631E+01  5.62371207E+05  2.99458692E-01 -6.80164374E-03 -1.88652587E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.95E+04  4.22E+01  1.36E+03  4.92E+00
   82941  7.50000000E+00  5.34128904E-05   5.67796626E-03  1.37404987E-03 -3.29150138E-03  2.59171191E-03  2.80379890E-03  0.00000000E+00  1.27194119E+02  3.04573527E+00 -5.49831934E-02  1.15997600E-05  8.91172312E+04  8.91295956E+04  2.27047976E-05  1.43129387E+00  3.09519473E+01  8.01044698E+00  2.85879308E-01  4.28690042E-01  2.42320118E+01  4.26025194E+05  2.44837673E-01  8.37563328E-03 -2.44776009E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.77E+04  4.22E+01  1.34E+03  4.67E+00
   91771  8.00000000E+00  7.44675221E-05   5.74893266E-03  1.46170531E-03 -2.58803842E-03  1.52009663E-03  2.61374804E-03  0.00000000E+00  1.00087614E+02  2.46997268E+00 -5.85186547E-02  1.00763403E-05  8.80535942E+04  8.80837869E+04  2.68047030E-05  1.46467940E+00  2.84980185E+01  7.18872232E+00  2.93662236E-01  4.12149894E-01  1.67104456E+01  3.10007638E+05  1.72036473E-01  6.63988323E-03 -1.46325190E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.87E+04  4.22E+01  1.26E+03  4.21E+00
   98931  8.50000000E+00  6.38076672E-05   5.23187307E-03  2.09357780E-03 -2.11068735E-03  1.73806630E-03  1.14040949E-02  0.00000000E+00  6.59711137E+01  2.54731120E+00 -3.45226498E-02  1.20576488E-05  1.28806858E+05  1.28810195E+05  3.59112849E-05  1.54443317E+00  2.41016807E+01  4.46003410E+00  2.99564702E-01  3.98836766E-01  4.37372532E+01  1.08344957E+06  6.24969819E-01  3.20612909E-02 -3.00016082E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.94E+04  4.22E+01  1.44E+03  4.61E+00
  106508  9.00000000E+00  9.92367959E-05   5.94699891E-03  1.13889377E-03 -2.15418126E-03  1.41115971E-03  6.36126926E-03  0.00000000E+00  6.82895486E+01  2.50064220E+00 -3.63542437E-02  1.28222797E-05  1.08212475E+05  1.08271188E+05  3.27056044E-05  1.57338946E+00  2.48018272E+01  5.65912056E+00  3.02032776E-01  3.93537443E-01  2.24524140E+01  5.75517644E+05  4.32115888E-01  2.01831007E-02 -3.11871494E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.86E+04  4.22E+01  9.54E+02  2.92E+00
  112489  9.50000000E+00  6.41383896E-05   4.40295429E-03  1.37226686E-03 -1.44049373E-03  1.35096227E-03  6.85227560E-03  0.00000000E+00  6.93582587E+01  2.94972500E+00 -1.09588221E-01  8.93264356E-06  1.16064831E+05  1.16106513E+05  4.07860105E-05  1.58913144E+00  2.52969668E+01  5.02756788E+00  3.01197211E-01  3.95237766E-01  3.72450815E+01  8.51772915E+05  5.61888357E-01 -9.91350324E-03 -2.62464076E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.45E+04  4.22E+01  1.22E+03  3.57E+00
